OA,Mixed,Asian,Black,Other,White
E00002365,0.02,0.5,0.12,0.07,0.28
E00002366,0.02,0.45,0.09,0.1,0.33
E00002367,0.04,0.53,0.07,0.11,0.25
E00002368,0.08,0.43,0.14,0.11,0.23
E00002369,0.02,0.54,0.17,0.09,0.17
E00002370,0.05,0.37,0.2,0.05,0.34
E00002372,0.06,0.3,0.29,0.1,0.25
E00002373,0.09,0.28,0.33,0.06,0.24
E00002374,0.06,0.28,0.36,0.1,0.2
E00002375,0.04,0.18,0.28,0.08,0.41
E00002376,0.07,0.28,0.25,0.14,0.27
E00002377,0.03,0.24,0.3,0.13,0.29
E00002378,0.02,0.37,0.17,0.0,0.43
E00002379,0.06,0.21,0.33,0.1,0.31
E00002380,0.05,0.5,0.11,0.06,0.28
E00002381,0.06,0.42,0.12,0.04,0.37
E00002382,0.05,0.41,0.19,0.06,0.29
E00002383,0.09,0.12,0.03,0.02,0.75
E00002384,0.06,0.12,0.13,0.17,0.53
E00002385,0.09,0.17,0.13,0.15,0.47
E00002386,0.06,0.07,0.06,0.08,0.72
E00002387,0.04,0.36,0.17,0.13,0.31
E00002388,0.05,0.14,0.1,0.15,0.56
E00002389,0.03,0.19,0.07,0.05,0.66
E00002390,0.08,0.11,0.12,0.19,0.5
E00002391,0.09,0.1,0.07,0.16,0.58
E00002392,0.05,0.16,0.15,0.09,0.54
E00002393,0.09,0.09,0.13,0.03,0.67
E00002394,0.07,0.22,0.11,0.1,0.5
E00002395,0.05,0.21,0.2,0.06,0.47
E00002396,0.06,0.13,0.16,0.07,0.58
E00002397,0.09,0.29,0.16,0.13,0.33
E00002398,0.05,0.22,0.07,0.03,0.64
E00002399,0.05,0.26,0.08,0.05,0.56
E00002400,0.08,0.12,0.14,0.08,0.59
E00002401,0.08,0.16,0.08,0.06,0.63
E00002402,0.08,0.21,0.11,0.03,0.58
E00002403,0.05,0.29,0.14,0.08,0.46
E00002404,0.03,0.14,0.06,0.06,0.71
E00002405,0.1,0.08,0.13,0.04,0.66
E00002406,0.09,0.18,0.07,0.09,0.57
E00002407,0.08,0.14,0.14,0.05,0.6
E00002408,0.07,0.1,0.23,0.06,0.55
E00002409,0.09,0.09,0.18,0.04,0.59
E00002410,0.03,0.12,0.19,0.1,0.56
E00002411,0.07,0.11,0.07,0.12,0.64
E00002412,0.06,0.15,0.11,0.15,0.53
E00002413,0.06,0.17,0.07,0.08,0.62
E00002414,0.08,0.16,0.11,0.12,0.53
E00002415,0.04,0.19,0.11,0.1,0.56
E00002416,0.07,0.07,0.1,0.1,0.66
E00002417,0.04,0.17,0.1,0.14,0.55
E00002418,0.06,0.16,0.18,0.08,0.51
E00002419,0.08,0.19,0.09,0.14,0.5
E00002420,0.09,0.13,0.08,0.04,0.64
E00002421,0.05,0.19,0.12,0.07,0.57
E00002422,0.03,0.21,0.23,0.09,0.43
E00002423,0.1,0.22,0.36,0.08,0.25
E00002424,0.11,0.14,0.18,0.11,0.46
E00002425,0.05,0.27,0.23,0.08,0.36
E00002426,0.01,0.53,0.2,0.03,0.23
E00002427,0.03,0.33,0.31,0.07,0.27
E00002428,0.02,0.45,0.2,0.13,0.22
E00002429,0.1,0.2,0.3,0.09,0.32
E00002430,0.05,0.45,0.21,0.05,0.24
E00002431,0.04,0.25,0.15,0.07,0.48
E00002432,0.01,0.42,0.26,0.07,0.24
E00002433,0.03,0.46,0.19,0.1,0.22
E00002434,0.07,0.37,0.18,0.12,0.27
E00002435,0.08,0.51,0.2,0.05,0.16
E00002436,0.04,0.46,0.19,0.05,0.26
E00002437,0.05,0.27,0.15,0.07,0.46
E00002438,0.02,0.38,0.15,0.03,0.42
E00002439,0.04,0.33,0.11,0.09,0.43
E00002440,0.04,0.28,0.22,0.06,0.4
E00002441,0.07,0.15,0.48,0.04,0.27
E00002442,0.01,0.51,0.18,0.04,0.26
E00002443,0.05,0.23,0.17,0.1,0.46
E00002444,0.01,0.44,0.26,0.07,0.2
E00002445,0.04,0.21,0.14,0.02,0.6
E00002446,0.03,0.3,0.19,0.13,0.34
E00002447,0.07,0.22,0.26,0.13,0.32
E00002448,0.04,0.25,0.14,0.1,0.48
E00002449,0.05,0.13,0.36,0.11,0.35
E00002450,0.06,0.17,0.12,0.13,0.51
E00002451,0.05,0.21,0.1,0.07,0.57
E00002452,0.05,0.13,0.48,0.05,0.3
E00002453,0.04,0.18,0.13,0.08,0.55
E00002454,0.03,0.31,0.12,0.06,0.48
E00002455,0.05,0.14,0.31,0.06,0.45
E00002456,0.06,0.23,0.33,0.07,0.31
E00002457,0.07,0.16,0.26,0.1,0.41
E00002458,0.06,0.15,0.16,0.19,0.44
E00002459,0.08,0.32,0.17,0.14,0.3
E00002460,0.06,0.14,0.11,0.08,0.61
E00002461,0.03,0.29,0.18,0.06,0.45
E00002462,0.05,0.21,0.15,0.05,0.54
E00002463,0.07,0.3,0.08,0.11,0.43
E00002464,0.08,0.17,0.09,0.02,0.64
E00002465,0.06,0.21,0.13,0.0,0.61
E00002466,0.05,0.1,0.15,0.09,0.61
E00002467,0.03,0.15,0.07,0.06,0.69
E00002468,0.05,0.15,0.25,0.03,0.53
E00002469,0.04,0.36,0.09,0.12,0.39
E00002470,0.05,0.15,0.1,0.05,0.65
E00002471,0.05,0.11,0.12,0.09,0.62
E00002472,0.08,0.15,0.09,0.01,0.67
E00002473,0.04,0.35,0.09,0.09,0.43
E00002474,0.05,0.11,0.13,0.05,0.65
E00002475,0.06,0.19,0.16,0.06,0.55
E00002476,0.06,0.24,0.36,0.08,0.27
E00002477,0.09,0.13,0.17,0.06,0.55
E00002478,0.08,0.17,0.15,0.09,0.51
E00002479,0.03,0.39,0.12,0.03,0.43
E00002480,0.05,0.31,0.22,0.08,0.34
E00002481,0.04,0.25,0.19,0.08,0.45
E00002482,0.09,0.08,0.42,0.08,0.33
E00002483,0.05,0.14,0.51,0.02,0.28
E00002484,0.03,0.34,0.27,0.05,0.31
E00002485,0.05,0.14,0.48,0.03,0.3
E00002486,0.06,0.18,0.31,0.02,0.43
E00002487,0.03,0.12,0.34,0.04,0.46
E00002488,0.06,0.26,0.24,0.08,0.36
E00002489,0.02,0.42,0.2,0.08,0.28
E00002490,0.03,0.41,0.22,0.04,0.3
E00002491,0.06,0.3,0.23,0.04,0.37
E00002492,0.01,0.32,0.18,0.07,0.42
E00002493,0.05,0.33,0.14,0.07,0.4
E00002494,0.05,0.28,0.1,0.14,0.43
E00002495,0.04,0.27,0.37,0.05,0.26
E00002496,0.02,0.44,0.08,0.09,0.36
E00002497,0.03,0.28,0.1,0.08,0.51
E00002498,0.05,0.51,0.06,0.03,0.34
E00002499,0.02,0.38,0.11,0.08,0.41
E00002500,0.04,0.43,0.08,0.12,0.34
E00002501,0.08,0.35,0.08,0.05,0.44
E00002502,0.05,0.36,0.15,0.01,0.44
E00002503,0.02,0.54,0.04,0.01,0.38
E00002504,0.1,0.35,0.09,0.06,0.4
E00002505,0.04,0.42,0.12,0.06,0.36
E00002506,0.07,0.22,0.1,0.04,0.58
E00002507,0.01,0.6,0.01,0.05,0.33
E00002508,0.08,0.28,0.34,0.04,0.25
E00002509,0.01,0.46,0.07,0.07,0.39
E00002510,0.07,0.21,0.08,0.13,0.5
E00002511,0.03,0.52,0.08,0.06,0.3
E00002512,0.08,0.4,0.13,0.07,0.32
E00002513,0.04,0.39,0.16,0.07,0.33
E00002514,0.03,0.38,0.18,0.07,0.34
E00002515,0.01,0.56,0.04,0.06,0.32
E00002516,0.04,0.4,0.07,0.03,0.45
E00002517,0.04,0.39,0.12,0.1,0.36
E00002518,0.01,0.56,0.05,0.09,0.28
E00002519,0.05,0.42,0.18,0.04,0.32
E00002520,0.05,0.45,0.19,0.07,0.26
E00002521,0.05,0.47,0.1,0.12,0.26
E00002522,0.01,0.35,0.1,0.12,0.42
E00002523,0.06,0.24,0.09,0.14,0.47
E00002524,0.07,0.45,0.16,0.1,0.22
E00002525,0.03,0.26,0.12,0.07,0.51
E00002526,0.05,0.44,0.1,0.03,0.38
E00002527,0.05,0.28,0.14,0.03,0.5
E00002528,0.04,0.31,0.19,0.06,0.4
E00002529,0.04,0.47,0.09,0.04,0.37
E00002530,0.02,0.48,0.08,0.07,0.36
E00002531,0.07,0.08,0.67,0.02,0.16
E00002532,0.08,0.07,0.31,0.04,0.5
E00002533,0.08,0.2,0.38,0.06,0.29
E00002534,0.06,0.23,0.34,0.07,0.29
E00002535,0.05,0.1,0.52,0.06,0.28
E00002536,0.06,0.09,0.56,0.11,0.19
E00002537,0.06,0.12,0.44,0.02,0.36
E00002538,0.06,0.29,0.29,0.06,0.3
E00002539,0.08,0.08,0.41,0.04,0.37
E00002540,0.07,0.09,0.29,0.08,0.47
E00002541,0.06,0.13,0.36,0.03,0.41
E00002542,0.06,0.12,0.39,0.07,0.35
E00002544,0.09,0.21,0.44,0.05,0.22
E00002545,0.09,0.1,0.32,0.1,0.38
E00002546,0.07,0.19,0.39,0.08,0.27
E00002547,0.06,0.09,0.59,0.02,0.26
E00002548,0.08,0.14,0.37,0.09,0.32
E00002549,0.07,0.14,0.36,0.04,0.38
E00002550,0.07,0.14,0.35,0.06,0.36
E00002552,0.05,0.09,0.32,0.04,0.49
E00002553,0.08,0.09,0.34,0.04,0.46
E00002554,0.14,0.09,0.49,0.02,0.26
E00002555,0.1,0.12,0.39,0.02,0.36
E00002556,0.07,0.16,0.31,0.05,0.41
E00002558,0.06,0.21,0.45,0.05,0.22
E00002559,0.05,0.11,0.4,0.03,0.42
E00002560,0.04,0.13,0.54,0.06,0.22
E00002561,0.06,0.13,0.39,0.04,0.37
E00002562,0.12,0.09,0.65,0.04,0.1
E00002563,0.06,0.1,0.52,0.07,0.25
E00002564,0.07,0.07,0.41,0.03,0.42
E00002565,0.11,0.1,0.34,0.08,0.38
E00002566,0.06,0.14,0.5,0.01,0.3
E00002567,0.09,0.11,0.27,0.05,0.47
E00002568,0.08,0.15,0.35,0.05,0.36
E00002569,0.07,0.2,0.39,0.04,0.3
E00002570,0.07,0.14,0.47,0.06,0.26
E00002571,0.05,0.09,0.26,0.09,0.52
E00002572,0.08,0.13,0.19,0.13,0.47
E00002573,0.1,0.08,0.3,0.03,0.47
E00002575,0.07,0.13,0.18,0.05,0.57
E00002576,0.1,0.08,0.24,0.03,0.54
E00002577,0.08,0.14,0.27,0.03,0.47
E00002578,0.06,0.2,0.15,0.01,0.58
E00002579,0.09,0.13,0.37,0.03,0.39
E00002580,0.07,0.18,0.24,0.04,0.47
E00002581,0.04,0.18,0.49,0.02,0.27
E00002582,0.09,0.09,0.2,0.05,0.57
E00002583,0.05,0.14,0.37,0.02,0.41
E00002584,0.05,0.13,0.28,0.06,0.48
E00002585,0.05,0.33,0.13,0.0,0.48
E00002586,0.09,0.17,0.26,0.01,0.47
E00002587,0.05,0.16,0.13,0.01,0.65
E00002588,0.03,0.18,0.37,0.04,0.38
E00002589,0.08,0.14,0.31,0.12,0.35
E00002591,0.06,0.12,0.22,0.03,0.57
E00002592,0.06,0.15,0.23,0.09,0.48
E00002593,0.07,0.23,0.08,0.04,0.57
E00002594,0.08,0.14,0.29,0.08,0.41
E00002595,0.1,0.22,0.19,0.03,0.45
E00002596,0.05,0.18,0.22,0.08,0.47
E00002597,0.07,0.16,0.17,0.03,0.57
E00002598,0.09,0.07,0.26,0.04,0.55
E00002599,0.08,0.09,0.17,0.02,0.64
E00002600,0.07,0.13,0.16,0.06,0.59
E00002601,0.09,0.17,0.35,0.05,0.33
E00002602,0.07,0.11,0.28,0.06,0.47
E00002603,0.08,0.22,0.3,0.05,0.36
E00002604,0.09,0.15,0.19,0.04,0.54
E00002605,0.06,0.04,0.25,0.02,0.64
E00002606,0.07,0.04,0.24,0.07,0.58
E00002607,0.03,0.55,0.08,0.01,0.34
E00002608,0.01,0.67,0.03,0.09,0.2
E00002609,0.02,0.48,0.05,0.07,0.39
E00002610,0.02,0.47,0.07,0.12,0.33
E00002611,0.03,0.55,0.03,0.07,0.32
E00002612,0.02,0.54,0.07,0.04,0.34
E00002613,0.04,0.56,0.03,0.02,0.36
E00002614,0.02,0.56,0.04,0.07,0.3
E00002615,0.01,0.54,0.04,0.04,0.37
E00002616,0.03,0.55,0.01,0.02,0.4
E00002617,0.02,0.59,0.07,0.08,0.23
E00002618,0.03,0.44,0.11,0.03,0.39
E00002619,0.02,0.54,0.04,0.04,0.35
E00002620,0.01,0.65,0.02,0.01,0.32
E00002621,0.04,0.49,0.04,0.03,0.4
E00002622,0.01,0.56,0.03,0.07,0.34
E00002623,0.05,0.62,0.06,0.02,0.25
E00002624,0.03,0.57,0.02,0.02,0.35
E00002625,0.01,0.56,0.01,0.02,0.4
E00002626,0.02,0.64,0.02,0.02,0.29
E00002627,0.03,0.67,0.06,0.04,0.21
E00002628,0.03,0.51,0.06,0.04,0.35
E00002629,0.03,0.48,0.08,0.1,0.31
E00002630,0.02,0.71,0.09,0.02,0.15
E00002631,0.02,0.66,0.07,0.01,0.24
E00002632,0.04,0.52,0.04,0.04,0.36
E00002633,0.02,0.66,0.03,0.04,0.25
E00002634,0.03,0.53,0.13,0.02,0.29
E00002635,0.02,0.71,0.03,0.07,0.17
E00002636,0.06,0.6,0.1,0.01,0.23
E00002637,0.02,0.63,0.07,0.02,0.26
E00002638,0.04,0.65,0.03,0.05,0.23
E00002639,0.12,0.12,0.11,0.02,0.63
E00002640,0.05,0.19,0.12,0.03,0.6
E00002641,0.07,0.11,0.04,0.01,0.77
E00002642,0.13,0.19,0.2,0.11,0.38
E00002643,0.06,0.17,0.16,0.05,0.56
E00002644,0.1,0.17,0.26,0.04,0.42
E00002645,0.01,0.11,0.12,0.05,0.7
E00002646,0.05,0.14,0.31,0.08,0.43
E00002647,0.04,0.08,0.09,0.06,0.73
E00002648,0.03,0.11,0.09,0.03,0.73
E00002649,0.06,0.11,0.05,0.03,0.76
E00002650,0.09,0.09,0.18,0.14,0.5
E00002651,0.09,0.1,0.17,0.04,0.6
E00002652,0.1,0.12,0.12,0.08,0.58
E00002653,0.07,0.04,0.31,0.04,0.54
E00002654,0.06,0.13,0.11,0.04,0.66
E00002655,0.09,0.07,0.12,0.02,0.7
E00002657,0.08,0.14,0.15,0.03,0.6
E00002658,0.07,0.12,0.06,0.02,0.73
E00002659,0.07,0.12,0.19,0.06,0.56
E00002660,0.07,0.15,0.4,0.05,0.33
E00002661,0.09,0.1,0.33,0.09,0.38
E00002662,0.08,0.05,0.15,0.08,0.64
E00002663,0.08,0.11,0.2,0.07,0.55
E00002664,0.03,0.19,0.3,0.04,0.45
E00002665,0.07,0.09,0.42,0.12,0.29
E00002666,0.08,0.17,0.41,0.08,0.26
E00002667,0.08,0.12,0.39,0.05,0.35
E00002668,0.09,0.08,0.22,0.05,0.55
E00002669,0.1,0.06,0.55,0.08,0.22
E00002670,0.04,0.14,0.28,0.07,0.46
E00002671,0.06,0.14,0.46,0.08,0.27
E00002672,0.06,0.07,0.42,0.12,0.32
E00002673,0.05,0.08,0.57,0.07,0.24
E00002674,0.07,0.1,0.51,0.13,0.2
E00002675,0.04,0.16,0.34,0.11,0.35
E00002676,0.04,0.06,0.56,0.1,0.24
E00002677,0.11,0.08,0.57,0.06,0.18
E00002678,0.11,0.07,0.49,0.14,0.2
E00002679,0.07,0.12,0.42,0.2,0.2
E00002680,0.03,0.15,0.43,0.12,0.26
E00002681,0.08,0.13,0.42,0.12,0.26
E00002682,0.07,0.18,0.26,0.08,0.42
E00002683,0.08,0.12,0.17,0.08,0.56
E00002684,0.09,0.09,0.15,0.04,0.64
E00002685,0.04,0.09,0.12,0.0,0.75
E00002686,0.06,0.1,0.05,0.07,0.72
E00002687,0.06,0.19,0.1,0.07,0.59
E00002688,0.03,0.05,0.07,0.01,0.83
E00002689,0.06,0.09,0.06,0.09,0.7
E00002690,0.08,0.06,0.02,0.05,0.78
E00002691,0.05,0.17,0.08,0.06,0.64
E00002692,0.05,0.26,0.12,0.1,0.47
E00002693,0.03,0.32,0.15,0.14,0.36
E00002694,0.03,0.21,0.34,0.05,0.36
E00002695,0.05,0.15,0.06,0.1,0.63
E00002696,0.05,0.23,0.09,0.09,0.55
E00002697,0.06,0.14,0.12,0.03,0.67
E00002698,0.03,0.17,0.14,0.08,0.59
E00002699,0.1,0.25,0.06,0.03,0.57
E00002700,0.03,0.29,0.17,0.07,0.46
E00002701,0.05,0.21,0.15,0.13,0.46
E00002702,0.03,0.16,0.11,0.09,0.61
E00002703,0.05,0.04,0.05,0.1,0.76
E00002704,0.04,0.23,0.1,0.09,0.54
E00002705,0.06,0.06,0.11,0.06,0.71
E00002706,0.05,0.11,0.07,0.08,0.68
E00002707,0.1,0.1,0.11,0.03,0.66
E00002708,0.09,0.19,0.11,0.08,0.53
E00002709,0.09,0.09,0.19,0.05,0.59
E00002710,0.03,0.12,0.1,0.09,0.66
E00002711,0.06,0.12,0.12,0.1,0.59
E00002712,0.06,0.22,0.16,0.08,0.48
E00002713,0.07,0.12,0.09,0.02,0.7
E00002714,0.04,0.08,0.03,0.04,0.81
E00002715,0.08,0.12,0.1,0.03,0.67
E00002716,0.14,0.14,0.13,0.09,0.5
E00002717,0.03,0.14,0.11,0.08,0.64
E00002718,0.11,0.12,0.04,0.03,0.7
E00002719,0.07,0.12,0.15,0.09,0.56
E00002720,0.05,0.07,0.03,0.01,0.83
E00002721,0.09,0.09,0.41,0.14,0.27
E00002722,0.07,0.11,0.03,0.04,0.75
E00002723,0.05,0.12,0.2,0.04,0.6
E00002724,0.07,0.09,0.06,0.01,0.77
E00002725,0.05,0.06,0.04,0.03,0.81
E00002726,0.07,0.15,0.2,0.07,0.5
E00002727,0.05,0.19,0.07,0.09,0.6
E00002728,0.07,0.17,0.22,0.08,0.46
E00002729,0.09,0.13,0.17,0.08,0.53
E00002730,0.09,0.2,0.17,0.04,0.5
E00002731,0.05,0.29,0.14,0.06,0.46
E00002732,0.06,0.27,0.15,0.07,0.46
E00002733,0.03,0.13,0.11,0.06,0.67
E00002734,0.05,0.27,0.18,0.09,0.42
E00002735,0.05,0.22,0.15,0.05,0.53
E00002736,0.06,0.39,0.12,0.09,0.34
E00002737,0.05,0.24,0.09,0.05,0.58
E00002738,0.02,0.5,0.17,0.06,0.25
E00002739,0.07,0.5,0.12,0.03,0.3
E00002740,0.04,0.51,0.08,0.0,0.37
E00002741,0.06,0.54,0.1,0.05,0.26
E00002742,0.03,0.4,0.26,0.04,0.28
E00002743,0.03,0.3,0.14,0.03,0.5
E00002744,0.04,0.55,0.07,0.03,0.31
E00002745,0.02,0.44,0.16,0.01,0.36
E00002746,0.06,0.41,0.26,0.02,0.25
E00002748,0.03,0.51,0.05,0.02,0.39
E00002750,0.03,0.52,0.14,0.05,0.26
E00002751,0.03,0.67,0.05,0.04,0.21
E00002752,0.02,0.56,0.05,0.05,0.32
E00002753,0.01,0.67,0.04,0.02,0.25
E00002754,0.04,0.49,0.08,0.03,0.35
E00002755,0.02,0.56,0.1,0.04,0.3
E00002756,0.02,0.53,0.1,0.04,0.31
E00002757,0.04,0.58,0.06,0.06,0.26
E00002758,0.04,0.52,0.09,0.09,0.26
E00002759,0.05,0.64,0.06,0.07,0.17
E00002760,0.02,0.62,0.0,0.04,0.33
E00002761,0.04,0.44,0.11,0.06,0.36
E00002762,0.03,0.51,0.17,0.07,0.22
E00002763,0.05,0.51,0.17,0.07,0.21
E00002764,0.04,0.48,0.05,0.09,0.34
E00002765,0.03,0.36,0.2,0.05,0.35
E00002766,0.04,0.56,0.11,0.04,0.26
E00002767,0.02,0.56,0.09,0.04,0.29
E00002768,0.02,0.54,0.09,0.04,0.31
E00002769,0.07,0.23,0.26,0.12,0.32
E00002770,0.03,0.51,0.11,0.08,0.28
E00002771,0.04,0.58,0.14,0.02,0.22
E00002772,0.06,0.49,0.11,0.04,0.29
E00002773,0.03,0.55,0.1,0.08,0.23
E00002774,0.04,0.52,0.1,0.06,0.29
E00002775,0.07,0.52,0.06,0.12,0.22
E00002776,0.06,0.43,0.2,0.04,0.28
E00002777,0.05,0.59,0.04,0.06,0.26
E00002778,0.05,0.5,0.08,0.03,0.33
E00002779,0.03,0.46,0.13,0.06,0.32
E00002780,0.03,0.49,0.07,0.04,0.37
E00002781,0.04,0.5,0.1,0.04,0.32
E00002783,0.04,0.55,0.07,0.1,0.24
E00002784,0.03,0.5,0.21,0.03,0.23
E00002785,0.07,0.32,0.19,0.1,0.33
E00002786,0.04,0.35,0.08,0.08,0.44
E00002787,0.03,0.37,0.15,0.04,0.42
E00002788,0.08,0.31,0.1,0.07,0.44
E00002789,0.01,0.53,0.08,0.05,0.33
E00002790,0.05,0.4,0.25,0.07,0.23
E00002791,0.07,0.45,0.13,0.07,0.27
E00002792,0.04,0.38,0.3,0.05,0.22
E00002793,0.04,0.48,0.16,0.02,0.3
E00002794,0.03,0.46,0.15,0.09,0.27
E00002795,0.04,0.46,0.14,0.08,0.28
E00002796,0.02,0.51,0.12,0.06,0.3
E00002797,0.05,0.5,0.11,0.01,0.33
E00002798,0.04,0.49,0.11,0.05,0.3
E00002799,0.02,0.5,0.17,0.0,0.32
E00002800,0.06,0.57,0.08,0.04,0.25
E00002801,0.04,0.35,0.11,0.02,0.48
E00002802,0.04,0.58,0.08,0.07,0.24
E00002803,0.05,0.47,0.05,0.07,0.36
E00002804,0.04,0.41,0.09,0.03,0.44
E00002805,0.09,0.37,0.1,0.05,0.4
E00002806,0.04,0.41,0.07,0.07,0.41
E00002807,0.05,0.09,0.09,0.04,0.72
E00002808,0.05,0.14,0.39,0.09,0.33
E00002809,0.05,0.21,0.17,0.08,0.5
E00002810,0.11,0.12,0.33,0.09,0.36
E00002811,0.09,0.16,0.14,0.05,0.55
E00002812,0.08,0.12,0.15,0.05,0.59
E00002813,0.09,0.12,0.15,0.08,0.57
E00002814,0.06,0.19,0.12,0.03,0.6
E00002815,0.1,0.12,0.19,0.07,0.51
E00002816,0.05,0.16,0.15,0.02,0.61
E00002817,0.03,0.08,0.19,0.03,0.67
E00002818,0.11,0.13,0.19,0.08,0.48
E00002819,0.06,0.08,0.2,0.05,0.62
E00002820,0.1,0.13,0.16,0.08,0.54
E00002821,0.07,0.09,0.28,0.02,0.55
E00002822,0.07,0.12,0.15,0.07,0.58
E00002823,0.07,0.05,0.16,0.03,0.68
E00002824,0.07,0.06,0.18,0.12,0.57
E00002825,0.06,0.08,0.06,0.02,0.78
E00002826,0.06,0.08,0.1,0.04,0.73
E00002827,0.03,0.15,0.08,0.07,0.66
E00002828,0.06,0.02,0.14,0.07,0.71
E00002829,0.04,0.17,0.2,0.02,0.56
E00002830,0.04,0.07,0.13,0.05,0.7
E00002831,0.06,0.12,0.04,0.03,0.74
E00002832,0.09,0.1,0.07,0.01,0.73
E00002833,0.05,0.06,0.07,0.05,0.76
E00002834,0.04,0.07,0.06,0.01,0.81
E00002835,0.05,0.26,0.14,0.02,0.53
E00002836,0.06,0.24,0.14,0.04,0.52
E00002837,0.07,0.09,0.16,0.04,0.65
E00002838,0.08,0.07,0.02,0.07,0.77
E00002839,0.07,0.15,0.06,0.02,0.7
E00002840,0.07,0.1,0.08,0.06,0.68
E00002841,0.1,0.2,0.13,0.02,0.55
E00002842,0.08,0.22,0.16,0.04,0.5
E00002843,0.07,0.22,0.13,0.03,0.55
E00002844,0.08,0.09,0.08,0.03,0.73
E00002845,0.07,0.18,0.07,0.12,0.56
E00002846,0.09,0.07,0.13,0.04,0.66
E00002847,0.04,0.04,0.09,0.03,0.81
E00002848,0.06,0.05,0.06,0.05,0.77
E00002849,0.01,0.65,0.08,0.06,0.21
E00002850,0.07,0.36,0.23,0.05,0.3
E00002851,0.02,0.6,0.05,0.09,0.25
E00002852,0.01,0.42,0.11,0.04,0.43
E00002854,0.04,0.36,0.26,0.04,0.3
E00002855,0.05,0.71,0.04,0.04,0.17
E00002856,0.02,0.6,0.07,0.06,0.26
E00002857,0.02,0.66,0.04,0.01,0.25
E00002858,0.02,0.69,0.02,0.0,0.27
E00002859,0.02,0.55,0.02,0.03,0.38
E00002861,0.04,0.57,0.12,0.02,0.26
E00002862,0.02,0.59,0.05,0.04,0.3
E00002863,0.03,0.66,0.06,0.02,0.22
E00002864,0.02,0.57,0.09,0.01,0.31
E00002865,0.03,0.56,0.05,0.04,0.32
E00002866,0.09,0.15,0.4,0.06,0.3
E00002867,0.05,0.67,0.08,0.01,0.19
E00002868,0.01,0.68,0.07,0.01,0.23
E00002869,0.03,0.64,0.07,0.04,0.22
E00002870,0.05,0.29,0.11,0.06,0.48
E00002871,0.02,0.65,0.12,0.03,0.19
E00002872,0.02,0.71,0.03,0.06,0.19
E00002873,0.05,0.64,0.03,0.01,0.26
E00002874,0.04,0.53,0.13,0.05,0.25
E00002875,0.03,0.48,0.06,0.09,0.35
E00002876,0.04,0.58,0.04,0.11,0.24
E00002877,0.04,0.16,0.01,0.05,0.74
E00002878,0.03,0.68,0.05,0.01,0.23
E00002880,0.04,0.65,0.06,0.07,0.18
E00002881,0.04,0.53,0.08,0.06,0.28
E00002882,0.03,0.7,0.07,0.01,0.19
E00002883,0.05,0.17,0.47,0.06,0.24
E00002886,0.09,0.09,0.58,0.06,0.19
E00002887,0.04,0.35,0.3,0.03,0.28
E00002888,0.04,0.25,0.33,0.06,0.32
E00002891,0.06,0.21,0.39,0.07,0.26
E00002892,0.05,0.23,0.47,0.06,0.19
E00002893,0.09,0.12,0.48,0.07,0.24
E00002894,0.12,0.14,0.46,0.02,0.26
E00002897,0.03,0.05,0.66,0.03,0.24
E00002898,0.07,0.19,0.39,0.11,0.23
E00002899,0.09,0.15,0.41,0.14,0.21
E00002900,0.07,0.2,0.48,0.06,0.19
E00002901,0.08,0.08,0.34,0.16,0.35
E00002902,0.08,0.21,0.47,0.06,0.16
E00002903,0.07,0.13,0.39,0.1,0.31
E00002904,0.08,0.24,0.37,0.04,0.26
E00002905,0.08,0.19,0.45,0.07,0.22
E00002906,0.04,0.18,0.54,0.08,0.16
E00002907,0.06,0.11,0.54,0.05,0.23
E00002908,0.05,0.21,0.46,0.04,0.24
E00002909,0.04,0.1,0.58,0.04,0.23
E00002910,0.08,0.21,0.37,0.07,0.27
E00002911,0.11,0.16,0.49,0.01,0.23
E00002912,0.07,0.18,0.52,0.07,0.16
E00002913,0.07,0.2,0.39,0.08,0.27
E00002914,0.1,0.21,0.36,0.07,0.25
E00002915,0.03,0.16,0.4,0.11,0.29
E00002916,0.06,0.12,0.46,0.06,0.3
E00002917,0.08,0.22,0.39,0.05,0.26
E00002918,0.07,0.13,0.56,0.03,0.21
E00002919,0.07,0.13,0.48,0.07,0.25
E00002920,0.06,0.19,0.5,0.05,0.21
E00002921,0.08,0.1,0.68,0.04,0.1
E00002922,0.06,0.06,0.62,0.04,0.22
E00002923,0.06,0.23,0.38,0.07,0.26
E00002924,0.04,0.22,0.4,0.01,0.32
E00002925,0.04,0.19,0.38,0.01,0.37
E00002926,0.09,0.11,0.56,0.09,0.15
E00002928,0.05,0.25,0.44,0.03,0.23
E00002929,0.07,0.11,0.69,0.03,0.1
E00002930,0.03,0.6,0.18,0.03,0.16
E00002931,0.03,0.57,0.16,0.02,0.23
E00002932,0.04,0.46,0.15,0.04,0.31
E00002933,0.05,0.48,0.23,0.05,0.18
E00002934,0.04,0.71,0.07,0.02,0.17
E00002935,0.01,0.73,0.06,0.03,0.18
E00002936,0.02,0.61,0.12,0.04,0.22
E00002937,0.03,0.63,0.09,0.01,0.23
E00002938,0.04,0.55,0.12,0.07,0.23
E00002939,0.04,0.56,0.19,0.05,0.15
E00002940,0.03,0.63,0.11,0.05,0.19
E00002941,0.02,0.61,0.18,0.02,0.17
E00002942,0.04,0.53,0.15,0.03,0.25
E00002943,0.02,0.6,0.1,0.03,0.26
