OA,Mixed,Asian,Black,Other,White
E00021327,0.05,0.09,0.06,0.03,0.77
E00021328,0.07,0.5,0.06,0.04,0.33
E00021329,0.04,0.34,0.15,0.02,0.46
E00021330,0.02,0.55,0.14,0.01,0.28
E00021331,0.06,0.45,0.08,0.05,0.38
E00021332,0.04,0.63,0.06,0.02,0.25
E00021333,0.03,0.48,0.14,0.03,0.32
E00021334,0.05,0.39,0.14,0.02,0.4
E00021335,0.03,0.45,0.15,0.02,0.35
E00021336,0.07,0.48,0.08,0.05,0.32
E00021337,0.03,0.56,0.14,0.02,0.25
E00021338,0.02,0.81,0.08,0.01,0.09
E00021339,0.04,0.24,0.11,0.01,0.6
E00021340,0.08,0.38,0.13,0.03,0.39
E00021342,0.04,0.61,0.13,0.01,0.21
E00021344,0.05,0.56,0.12,0.01,0.25
E00021345,0.03,0.58,0.11,0.01,0.26
E00021346,0.06,0.56,0.09,0.01,0.27
E00021347,0.04,0.62,0.11,0.02,0.2
E00021349,0.04,0.63,0.12,0.03,0.18
E00021350,0.03,0.56,0.09,0.01,0.31
E00021351,0.03,0.62,0.12,0.02,0.21
E00021352,0.07,0.45,0.15,0.02,0.31
E00021353,0.02,0.58,0.13,0.04,0.23
E00021354,0.04,0.51,0.12,0.04,0.29
E00021355,0.07,0.17,0.07,0.06,0.64
E00021357,0.03,0.75,0.11,0.01,0.1
E00021359,0.05,0.57,0.12,0.01,0.25
E00021360,0.03,0.68,0.13,0.01,0.15
E00021361,0.06,0.43,0.14,0.04,0.33
E00021363,0.03,0.41,0.11,0.01,0.44
E00021364,0.04,0.49,0.07,0.04,0.36
E00021365,0.04,0.28,0.13,0.02,0.52
E00021366,0.03,0.56,0.09,0.02,0.29
E00021367,0.03,0.4,0.08,0.02,0.48
E00021368,0.06,0.5,0.11,0.03,0.32
E00021369,0.02,0.64,0.08,0.0,0.26
E00021370,0.04,0.56,0.14,0.02,0.22
E00021371,0.03,0.74,0.12,0.04,0.08
E00021372,0.04,0.46,0.09,0.04,0.36
E00021374,0.03,0.57,0.07,0.0,0.33
E00021375,0.02,0.61,0.14,0.0,0.23
E00021376,0.03,0.51,0.17,0.03,0.25
E00021377,0.04,0.39,0.11,0.03,0.44
E00021378,0.04,0.36,0.12,0.05,0.43
E00021379,0.05,0.32,0.12,0.02,0.49
E00021380,0.04,0.26,0.19,0.03,0.49
E00021381,0.05,0.49,0.11,0.03,0.33
E00021382,0.05,0.56,0.14,0.01,0.24
E00021383,0.05,0.47,0.16,0.01,0.31
E00021384,0.06,0.08,0.04,0.01,0.8
E00021385,0.03,0.38,0.07,0.01,0.5
E00021386,0.01,0.53,0.11,0.02,0.32
E00021387,0.04,0.47,0.12,0.01,0.36
E00021388,0.05,0.41,0.12,0.04,0.38
E00021391,0.05,0.54,0.13,0.03,0.25
E00021392,0.05,0.24,0.09,0.0,0.62
E00021393,0.03,0.52,0.16,0.02,0.27
E00021394,0.04,0.5,0.1,0.03,0.33
E00021395,0.02,0.48,0.14,0.03,0.33
E00021396,0.05,0.41,0.1,0.01,0.43
E00021397,0.02,0.49,0.14,0.02,0.32
E00021398,0.03,0.49,0.08,0.04,0.36
E00021399,0.05,0.22,0.02,0.01,0.69
E00021400,0.05,0.37,0.11,0.02,0.46
E00021402,0.06,0.3,0.12,0.02,0.5
E00021404,0.02,0.11,0.0,0.02,0.84
E00021405,0.03,0.4,0.07,0.02,0.47
E00021406,0.02,0.55,0.08,0.01,0.33
E00021407,0.07,0.44,0.18,0.02,0.29
E00021408,0.04,0.31,0.05,0.02,0.57
E00021409,0.01,0.14,0.05,0.03,0.77
E00021410,0.07,0.37,0.07,0.0,0.49
E00021411,0.04,0.39,0.13,0.01,0.43
E00021412,0.06,0.43,0.1,0.04,0.39
E00021413,0.03,0.59,0.12,0.02,0.24
E00021414,0.01,0.8,0.07,0.01,0.1
E00021415,0.06,0.5,0.09,0.01,0.34
E00021416,0.03,0.38,0.05,0.0,0.54
E00021417,0.03,0.31,0.04,0.03,0.58
E00021418,0.04,0.22,0.04,0.01,0.68
E00021419,0.02,0.75,0.11,0.0,0.12
E00021420,0.05,0.32,0.04,0.0,0.59
E00021421,0.04,0.57,0.08,0.02,0.29
E00021422,0.03,0.55,0.05,0.04,0.33
E00021423,0.02,0.61,0.12,0.02,0.24
E00021424,0.0,0.27,0.02,0.01,0.7
E00021425,0.07,0.13,0.01,0.01,0.79
E00021426,0.03,0.51,0.14,0.01,0.3
E00021427,0.05,0.12,0.03,0.03,0.77
E00021428,0.05,0.48,0.08,0.03,0.38
E00021429,0.06,0.33,0.14,0.02,0.44
E00021430,0.07,0.53,0.06,0.02,0.32
E00021431,0.03,0.51,0.04,0.02,0.4
E00021432,0.03,0.45,0.1,0.02,0.4
E00021433,0.05,0.45,0.07,0.03,0.4
E00021434,0.04,0.62,0.07,0.0,0.28
E00021437,0.03,0.46,0.14,0.01,0.36
E00021438,0.01,0.24,0.08,0.0,0.65
E00021439,0.04,0.57,0.07,0.02,0.29
E00021440,0.02,0.67,0.05,0.01,0.25
E00021441,0.04,0.2,0.04,0.01,0.71
E00021442,0.04,0.26,0.04,0.0,0.65
E00021443,0.04,0.18,0.05,0.03,0.71
E00021444,0.04,0.29,0.07,0.03,0.58
E00021445,0.02,0.78,0.09,0.02,0.09
E00021446,0.02,0.77,0.11,0.03,0.07
E00021447,0.02,0.17,0.02,0.01,0.78
E00021448,0.02,0.4,0.06,0.02,0.5
E00021449,0.07,0.24,0.04,0.01,0.65
E00021450,0.04,0.05,0.02,0.04,0.85
E00021451,0.05,0.47,0.07,0.03,0.38
E00021452,0.02,0.29,0.12,0.01,0.55
E00021453,0.05,0.18,0.05,0.02,0.71
E00021454,0.02,0.49,0.09,0.02,0.39
E00021455,0.03,0.45,0.07,0.04,0.41
E00021458,0.03,0.1,0.03,0.01,0.81
E00021459,0.06,0.08,0.04,0.05,0.77
E00021460,0.04,0.33,0.05,0.03,0.54
E00021461,0.04,0.3,0.06,0.04,0.56
E00021462,0.06,0.33,0.08,0.03,0.5
E00021463,0.04,0.35,0.08,0.03,0.49
E00021464,0.1,0.31,0.07,0.01,0.5
E00021465,0.04,0.53,0.05,0.02,0.36
E00021466,0.03,0.42,0.03,0.02,0.51
E00021467,0.03,0.7,0.07,0.03,0.17
